City,Lat,Long,State,country
Port Blair,11.666667,92.75,Andaman and Nicobar Islands,India
Chirala,15.823849,80.352187,Andhra Pradesh,India
Guntur,16.299737,80.457293,Andhra Pradesh,India
Hindupur,13.828065,77.491425,Andhra Pradesh,India
Kagaznagar,19.331589,79.466051,Andhra Pradesh,India
Kakinada,16.960361,82.238086,Andhra Pradesh,India
Kurnool,15.828865,78.036021,Andhra Pradesh,India
Machilipatnam,16.187466,81.13888,Andhra Pradesh,India
Nandyal,15.477994,78.483605,Andhra Pradesh,India
Nellore,14.449918,79.986967,Andhra Pradesh,India
Ongole,15.503565,80.044541,Andhra Pradesh,India
Proddatur,14.7502,78.548129,Andhra Pradesh,India
Rajahmundry,17.005171,81.777839,Andhra Pradesh,India
Tirupati,13.635505,79.419888,Andhra Pradesh,India
Vishakhapatnam,17.704052,83.297663,Andhra Pradesh,India
Vizianagaram,18.11329,83.397743,Andhra Pradesh,India
Itanagar,27.102349,93.692047,Arunachal Pradesh,India
Dibrugarh,27.479888,94.90837,Assam,India
Dispur,26.135638,91.800688,Assam,India
Guwahati,26.176076,91.762932,Assam,India
Jorhat,26.757509,94.203055,Assam,India
Silchar,24.827327,92.797868,Assam,India
Tezpur,26.633333,92.8,Assam,India
Aurangabad,24.752037,84.374202,Bihar,India
Bhagalpur,25.244462,86.971832,Bihar,India
Gaya,24.796858,85.003852,Bihar,India
Muzaffarpur,26.122593,85.390553,Bihar,India
Patna,25.615379,85.101027,Bihar,India
Purnea,25.776703,87.473655,Bihar,India
Chandigarh ,30.736292,76.788398,Chandigarh,India
Bhilai,21.209188,81.428497,Chhattisgarh,India
Bilaspur,22.080046,82.155431,Chhattisgarh,India
Raipur,21.233333,81.633333,Chhattisgarh,India
Silvassa,20.273855,72.996728,Dadra and Nagar Haveli,India
Daman,20.414315,72.83236,Daman and Diu,India
Diu,20.715115,70.987952,Daman and Diu,India
Delhi,28.651952,77.231495,Delhi,India
New Delhi,28.6,77.2,Delhi,India
Panaji,15.498289,73.824541,Goa,India
Ahmedabad,23.025793,72.587265,Gujarat,India
Bhavnagar,21.774455,72.152496,Gujarat,India
Bhuj,23.253972,69.669281,Gujarat,India
Ghandinagar,23.216667,72.683333,Gujarat,India
Navsari,20.85,72.916667,Gujarat,India
Porbandar,21.641346,69.600868,Gujarat,India
Rajkot,22.291606,70.793217,Gujarat,India
Surat,21.195944,72.830232,Gujarat,India
Vadodara,22.299405,73.208119,Gujarat,India
Ambala,30.360993,76.797819,Haryana,India
Bhiwani,28.793044,76.13968,Haryana,India
Faridabad,28.411236,77.313162,Haryana,India
Gurugram,28.460105,77.026352,Haryana,India
Hisar,29.153938,75.722944,Haryana,India
Karnal,29.691971,76.984483,Haryana,India
Panchkula,30.691512,76.853736,Haryana,India
Panipat,29.387471,76.968246,Haryana,India
Rohtak,28.894473,76.589166,Haryana,India
Sirsa,29.534893,75.028981,Haryana,India
Sonipat,28.994778,77.019375,Haryana,India
Shimla,31.104423,77.166623,Himachal Pradesh,India
Baramula,34.209004,74.342853,Jammu and Kashmir,India
Jammu,32.735686,74.869112,Jammu and Kashmir,India
Saidpur,34.318174,74.457093,Jammu and Kashmir,India
Srinagar,34.085652,74.805553,Jammu and Kashmir,India
Dhanbad,23.801988,86.443244,Jharkhand,India
Jamshedpur,22.802776,86.185448,Jharkhand,India
Ranchi,23.347768,85.338564,Jharkhand,India
Jorapokhar,23.7,86.41267,Jharkhand,India
Belgaum,15.862643,74.508534,Karnataka,India
Bellary,15.142049,76.92398,Karnataka,India
Bengaluru,12.977063,77.587106,Karnataka,India
Bidar,17.913309,77.530105,Karnataka,India
Bijapur,16.827715,75.718988,Karnataka,India
Chikka Mandya,12.545602,76.895078,Karnataka,India
Davangere,14.469237,75.92375,Karnataka,India
Gulbarga,17.335827,76.83757,Karnataka,India
Hospet,15.269537,76.387103,Karnataka,India
Hubli,15.349955,75.138619,Karnataka,India
Kolar,13.137679,78.129989,Karnataka,India
Mangalore,12.865371,74.842432,Karnataka,India
Mysore,12.292664,76.638543,Karnataka,India
Raichur,16.205459,77.35567,Karnataka,India
Shimoga,13.932424,75.572555,Karnataka,India
Alappuzha,9.494647,76.331108,Kerala,India
Calicut,11.248016,75.780402,Kerala,India
Kochi,9.947743,76.253802,Kerala,India
Kollam,8.881131,76.584694,Kerala,India
Thiruvananthapuram,8.485498,76.949238,Kerala,India
Kavaratti,10.566667,72.616667,Lakshadweep,India
Bhopal ,23.254688,77.402892,Madhya Pradesh,India
Gwalior,26.229825,78.173369,Madhya Pradesh,India
Indore,22.717736,75.85859,Madhya Pradesh,India
Jabalpur,23.174495,79.935903,Madhya Pradesh,India
Ratlam,23.330331,75.040315,Madhya Pradesh,India
Saugor,23.838766,78.738738,Madhya Pradesh,India
Ujjain,23.182387,75.776433,Madhya Pradesh,India
Ahmadnagar,19.094571,74.738432,Maharashtra,India
Akola,20.709569,76.998103,Maharashtra,India
Amaravati,20.933272,77.75152,Maharashtra,India
Aurangabad,19.880943,75.346739,Maharashtra,India
Bhiwandi,19.300229,73.058813,Maharashtra,India
Bhusaval,21.043649,75.785058,Maharashtra,India
Chanda,19.950758,79.295229,Maharashtra,India
Kalyan,19.243703,73.135537,Maharashtra,India
Khanapur,21.273716,76.117376,Maharashtra,India
Kolhapur,16.695633,74.231669,Maharashtra,India
Latur,18.399487,76.584252,Maharashtra,India
Malegaon Camp,20.569974,74.515415,Maharashtra,India
Mumbai,18.987807,72.836447,Maharashtra,India
Nanded,19.160227,77.314971,Maharashtra,India
Nasik,19.999963,73.776887,Maharashtra,India
Parbhani,19.268553,76.770807,Maharashtra,India
Pune,18.513271,73.849852,Maharashtra,India
Sangli,16.856777,74.569196,Maharashtra,India
Imphal,24.808053,93.944203,Manipur,India
Shillong ,25.573987,91.896807,Meghalaya,India
Aizawl  ,23.736701,92.714596,Mizoram,India
Kohima,25.674673,94.110988,Nagaland,India
Bhubaneshwar,20.272411,85.833853,Odisha,India
Brahmapur,19.311514,84.792903,Odisha,India
Cuttack,20.522922,85.78813,Odisha,India
Puri,19.798254,85.824938,Odisha,India
Raurkela,22.224964,84.864143,Odisha,India
Samlaipadar,21.478072,83.990505,Odisha,India
Brajrajnagar,21.82,83.92,Odisha,India
Talcher,20.95,85.23,Odisha,India
Puducherry,11.933812,79.829792,Puducherry,India
Abohar,30.144533,74.19552,Punjab,India
Amritsar,31.622337,74.875335,Punjab,India
Haripur,31.463218,75.986418,Punjab,India
Ludhiana,30.912042,75.853789,Punjab,India
Pathankot,32.274842,75.652865,Punjab,India
Patiala,30.336245,76.392199,Punjab,India
Ajmer,26.452103,74.638667,Rajasthan,India
Alwar,27.566291,76.610202,Rajasthan,India
Bharatpur,27.215251,77.492786,Rajasthan,India
Bhilwara,25.347071,74.640812,Rajasthan,India
Bikaner,28.017623,73.314955,Rajasthan,India
Jaipur,26.913312,75.787872,Rajasthan,India
Jodhpur,26.26841,73.005943,Rajasthan,India
Kota,25.182544,75.839065,Rajasthan,India
Pali,25.775125,73.320611,Rajasthan,India
Rampura,26.884682,75.789336,Rajasthan,India
Sikar,27.614778,75.138671,Rajasthan,India
Tonk,26.168672,75.786111,Rajasthan,India
Udaipur,24.57951,73.690508,Rajasthan,India
Gangtok,27.325739,88.612155,Sikkim,India
Chennai,13.084622,80.248357,Tamil Nadu ,India
Coimbatore,11.005547,76.966122,Tamil Nadu ,India
Cuddalore,11.746289,79.764362,Tamil Nadu ,India
Dindigul,10.362853,77.975827,Tamil Nadu ,India
Karur,10.960277,78.076753,Tamil Nadu ,India
Krishnapuram,12.869617,79.719469,Tamil Nadu ,India
Kumbakonam,10.959789,79.377472,Tamil Nadu ,India
Madurai,9.917347,78.119622,Tamil Nadu ,India
Nagercoil,8.177313,77.43437,Tamil Nadu ,India
Rajapalaiyam,9.451111,77.556121,Tamil Nadu ,India
Salem,11.651165,78.158672,Tamil Nadu ,India
Thanjavur,10.785233,79.139093,Tamil Nadu ,India
Tiruchchirappalli,10.815499,78.696513,Tamil Nadu ,India
Tirunelveli,8.725181,77.684519,Tamil Nadu ,India
Tiruvannamalai,12.230204,79.072954,Tamil Nadu ,India
Tuticorin,8.805038,78.151884,Tamil Nadu ,India
Valparai,10.325163,76.955299,Tamil Nadu ,India
Vellore,12.905769,79.137104,Tamil Nadu ,India
Adilabad,19.4,78.31,Telangana,India
Hyderabad,17.384052,78.456355,Telangana,India
Karimnagar,18.436738,79.13222,Telangana,India
Khammam,17.247672,80.143682,Telangana,India
Mahabubnagar,16.75,78,Telangana,India
Nalgonda,17.05,79.27,Telangana,India
Nizamabad,18.673151,78.10008,Telangana,India
Ramagundam,18.45,79.28,Telangana,India
Warangal,17.978423,79.600209,Telangana,India
Agartala,23.836049,91.279386,Tripura,India
Agra,27.187935,78.003944,Uttar Pradesh,India
Aligarh,27.881453,78.07464,Uttar Pradesh,India
Allahabad,25.44478,81.843217,Uttar Pradesh,India
Bakshpur,25.894283,80.792104,Uttar Pradesh,India
Bamanpuri,28.804495,79.040305,Uttar Pradesh,India
Bareilly,28.347023,79.421934,Uttar Pradesh,India
Bharauri,27.598203,81.694709,Uttar Pradesh,India
Budaun,28.038114,79.126677,Uttar Pradesh,India
Bulandshahr,28.403922,77.857731,Uttar Pradesh,India
Firozabad,27.150917,78.397808,Uttar Pradesh,India
Fyzabad,26.775486,82.150182,Uttar Pradesh,India
Ghaziabad,28.665353,77.439148,Uttar Pradesh,India
Gopalpur,26.735389,83.38064,Uttar Pradesh,India
Hapur,28.729845,77.780681,Uttar Pradesh,India
Hata,27.592698,78.013843,Uttar Pradesh,India
Jhansi,25.458872,78.579943,Uttar Pradesh,India
Lucknow,26.839281,80.923133,Uttar Pradesh,India
Mathura,27.503501,77.672145,Uttar Pradesh,India
Meerut,28.980018,77.706356,Uttar Pradesh,India
Mirzapur,25.144902,82.565335,Uttar Pradesh,India
Moradabad,28.838931,78.776838,Uttar Pradesh,India
Muzaffarnagar,29.470914,77.703324,Uttar Pradesh,India
Pilibhit,28.631245,79.804362,Uttar Pradesh,India
Saharanpur,29.967896,77.545221,Uttar Pradesh,India
Saidapur,27.598784,80.75089,Uttar Pradesh,India
Shahbazpur,27.874116,79.879327,Uttar Pradesh,India
Tharati Etawah,26.758236,79.014875,Uttar Pradesh,India
Varanasi,25.31774,83.005811,Uttar Pradesh,India
DehraDun,30.324427,78.033922,Uttarakhand,India
Alipurduar,26.4835,89.522855,West Bengal,India
Asansol,23.683333,86.983333,West Bengal,India
Barddhaman,23.255716,87.856906,West Bengal,India
Bhatpara,22.866431,88.401129,West Bengal,India
Haldia,22.025278,88.058333,West Bengal,India
Haora,22.576882,88.318566,West Bengal,India
Kolkata ,22.562627,88.363044,West Bengal,India
Krishnanagar,23.405761,88.490733,West Bengal,India
Shiliguri,26.710035,88.428512,West Bengal,India
